Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
MALLORCA;ALAV心;1-0;0-0;3.5;6.2;5.2;47;53;6;6;14;2;8;29;66;25;20;16;0;0;0;6;0;10;4;5;27;71;34;22;15;2;0;0
BARCELONA;GETAFE;2-1;2-0;5;6.9;5.4;76;24;4;5;12;3;2;16;86;17;9;12;3;0;0;2;2;7;3;3;14;56;17;2;30;2;0;0
VILLARREAL;LEVANTE;2-1;1-0;5.9;6.3;5.6;51;49;5;6;14;3;5;21;80;15;22;15;3;0;0;3;2;11;6;10;23;77;10;15;15;1;0;0
GRANADA;VALLADOLID;2-1;0-0;6;6.8;5.6;54;46;6;5;11;0;10;25;74;23;9;19;2;0;0;1;4;6;1;5;22;72;28;23;13;2;0;0
SEVILLA FC;ESPANYOL;2-2;1-1;7.5;6.7;5.3;68;32;7;6;18;5;9;20;83;20;21;17;2;0;0;0;3;5;2;2;24;60;23;28;9;3;1;0
LEGAN心;REAL BETIS;0-0;0-0;2.1;5.8;6.2;34;66;6;1;11;4;4;24;61;17;14;15;5;0;0;0;2;3;1;2;18;82;18;16;20;3;0;1
ATHLETIC;OSASUNA;0-1;0-1;3.2;5.4;6.2;65;35;7;2;12;3;4;35;81;34;8;14;4;0;0;2;2;6;2;0;18;60;24;32;20;4;0;0
REAL MADRID;CELTA;2-2;0-1;7.3;6.4;6.4;66;34;9;4;15;2;9;27;88;18;7;10;2;0;0;1;3;5;1;3;14;76;12;30;10;2;0;0
EIBAR;REAL SOCIEDAD;1-2;0-1;5.5;5;5.8;57;43;4;4;13;5;3;37;69;28;10;12;3;0;0;2;2;6;2;1;24;63;53;36;10;2;0;0
REAL BETIS;MALLORCA;3-3;2-2;8.5;6.5;6.1;70;30;11;6;19;2;7;18;89;24;9;13;2;0;0;4;4;11;3;1;16;73;14;18;12;1;0;0
CELTA;LEGAN心;1-0;0-0;2.8;6.2;6.3;42;58;1;1;3;1;2;24;72;20;49;13;2;0;1;6;2;11;3;9;19;78;28;8;17;3;0;0
BARCELONA;EIBAR;5-0;3-0;7.1;9.2;4.8;69;31;1;11;13;1;5;20;86;10;7;8;0;0;0;4;5;12;3;5;13;72;6;11;19;2;0;0
REAL SOCIEDAD;VALENCIA;3-0;2-0;5.2;7.9;5;46;54;7;7;19;5;6;21;83;23;26;19;1;0;0;2;1;6;3;7;13;82;13;19;9;1;0;0
LEVANTE;REAL MADRID;1-0;0-0;4;6.2;6.3;37;63;3;2;8;3;3;18;76;10;37;16;1;0;0;8;7;19;4;7;21;88;9;13;10;2;0;0
OSASUNA;GRANADA;0-3;0-3;4.4;4.4;7.6;62;38;7;1;14;6;6;39;71;35;7;19;3;0;0;5;4;10;1;3;26;52;38;29;11;1;0;0
ALAV心;ATHLETIC;2-1;1-1;5.9;6.2;5.4;44;56;0;4;4;1;1;14;72;26;17;17;4;0;0;5;4;12;3;9;29;77;22;12;12;4;0;0
VALLADOLID;ESPANYOL;2-1;0-0;6.2;6.6;4.8;65;35;10;6;21;5;4;18;84;17;12;10;1;0;0;2;2;6;2;2;19;60;19;20;18;4;1;0
GETAFE;SEVILLA FC;0-3;0-1;4.4;4.3;7.5;49;51;5;2;10;3;5;37;64;30;12;14;7;0;0;3;5;8;0;3;25;63;31;33;17;3;0;0
ATLETICO MADRID;VILLARREAL;3-1;1-1;6.4;7.3;5.6;41;59;2;9;16;5;6;30;82;17;10;14;1;0;0;5;4;10;1;1;17;88;16;30;6;2;0;0
REAL SOCIEDAD;VALLADOLID;1-0;0-0;3;7;5.5;55;45;6;4;13;3;8;20;79;32;24;15;1;0;0;1;1;6;4;4;26;72;12;15;11;1;0;0
